,image_path,class_id
53,.\train\00001\00877_00002.png,1
54,.\train\00001\00881_00000.png,1
55,.\train\00001\00881_00001.png,1
56,.\train\00001\00881_00002.png,1
57,.\train\00001\00897_00000.png,1
58,.\train\00001\00897_00001.png,1
59,.\train\00001\00897_00002.png,1
60,.\train\00001\00900_00000.png,1
61,.\train\00001\00900_00001.png,1
62,.\train\00001\00900_00002.png,1
63,.\train\00001\00920_00000.png,1
64,.\train\00001\00920_00001.png,1
65,.\train\00001\00920_00002.png,1
66,.\train\00001\00921_00000.png,1
67,.\train\00001\00921_00001.png,1
68,.\train\00001\00933_00000.png,1
69,.\train\00001\00933_00001.png,1
70,.\train\00001\00933_00002.png,1
71,.\train\00001\00941_00000.png,1
72,.\train\00001\00941_00001.png,1
73,.\train\00001\00941_00002.png,1
74,.\train\00001\00947_00000.png,1
75,.\train\00001\00947_00001.png,1
76,.\train\00001\00947_00002.png,1
77,.\train\00001\00965_00000.png,1
78,.\train\00001\00965_00001.png,1
79,.\train\00001\00965_00002.png,1
80,.\train\00001\01028_00000.png,1
81,.\train\00001\01028_00001.png,1
82,.\train\00001\01028_00002.png,1
83,.\train\00001\01103_00000.png,1
84,.\train\00001\01103_00001.png,1
85,.\train\00001\01103_00002.png,1
86,.\train\00001\01114_00000.png,1
87,.\train\00001\01114_00001.png,1
88,.\train\00001\01114_00002.png,1
89,.\train\00001\01278_00000.png,1
90,.\train\00001\01278_00001.png,1
91,.\train\00001\01278_00002.png,1
92,.\train\00001\01556_00000.png,1
93,.\train\00001\01556_00001.png,1
94,.\train\00001\01556_00002.png,1
95,.\train\00001\01584_00000.png,1
96,.\train\00001\01584_00001.png,1
97,.\train\00001\01584_00002.png,1
98,.\train\00001\01585_00000.png,1
99,.\train\00001\01585_00001.png,1
100,.\train\00001\01585_00002.png,1
101,.\train\00001\01590_00000.png,1
102,.\train\00001\01590_00001.png,1
103,.\train\00001\01590_00002.png,1
104,.\train\00001\01651_00000.png,1
105,.\train\00001\01651_00001.png,1
106,.\train\00001\01651_00002.png,1
107,.\train\00001\01662_00000.png,1
108,.\train\00001\01662_00001.png,1
109,.\train\00001\01662_00002.png,1
110,.\train\00001\01681_00000.png,1
111,.\train\00001\01681_00001.png,1
112,.\train\00001\01681_00002.png,1
113,.\train\00001\01699_00000.png,1
114,.\train\00001\01699_00001.png,1
115,.\train\00001\01699_00002.png,1
116,.\train\00001\01850_00000.png,1
117,.\train\00001\01850_00001.png,1
118,.\train\00001\01850_00002.png,1
119,.\train\00001\01854_00000.png,1
120,.\train\00001\01854_00001.png,1
121,.\train\00001\01854_00002.png,1
122,.\train\00001\01971_00000.png,1
123,.\train\00001\01971_00001.png,1
124,.\train\00001\01971_00002.png,1
125,.\train\00002\00270_00000.png,2
126,.\train\00002\00270_00001.png,2
127,.\train\00002\00270_00002.png,2
128,.\train\00002\01320_00000.png,2
129,.\train\00002\01503_00000.png,2
130,.\train\00002\01503_00001.png,2
131,.\train\00002\01503_00002.png,2
132,.\train\00002\01515_00000.png,2
133,.\train\00002\01515_00001.png,2
134,.\train\00002\01515_00002.png,2
135,.\train\00002\01722_00000.png,2
136,.\train\00002\01722_00001.png,2
137,.\train\00002\01722_00002.png,2
138,.\train\00003\00207_00000.png,3
139,.\train\00003\00207_00001.png,3
140,.\train\00003\00207_00002.png,3
141,.\train\00003\00211_00000.png,3
142,.\train\00003\00211_00001.png,3
143,.\train\00003\00211_00002.png,3
144,.\train\00003\00259_00000.png,3
145,.\train\00003\00259_00001.png,3
146,.\train\00003\00259_00002.png,3
147,.\train\00003\00391_00000.png,3
148,.\train\00003\00391_00001.png,3
149,.\train\00003\00391_00002.png,3
150,.\train\00003\01291_00000.png,3
151,.\train\00003\01291_00001.png,3
152,.\train\00003\01291_00002.png,3
153,.\train\00004\00145_00000.png,4
154,.\train\00004\00145_00001.png,4
155,.\train\00004\00145_00002.png,4
156,.\train\00004\00214_00000.png,4
157,.\train\00004\00214_00001.png,4
158,.\train\00004\00214_00002.png,4
159,.\train\00004\00282_00000.png,4
160,.\train\00004\00282_00001.png,4
161,.\train\00004\00282_00002.png,4
162,.\train\00004\00623_00000.png,4
163,.\train\00004\00623_00001.png,4
164,.\train\00004\00623_00002.png,4
165,.\train\00004\01312_00000.png,4
166,.\train\00004\01312_00001.png,4
167,.\train\00004\01312_00002.png,4
168,.\train\00005\00261_00000.png,5
169,.\train\00005\00261_00001.png,5
170,.\train\00005\00390_00000.png,5
171,.\train\00005\00390_00001.png,5
172,.\train\00005\00390_00002.png,5
173,.\train\00005\00575_00000.png,5
174,.\train\00005\00575_00001.png,5
175,.\train\00005\00575_00002.png,5
176,.\train\00005\01893_00000.png,5
177,.\train\00005\01893_00001.png,5
178,.\train\00005\01893_00002.png,5
179,.\train\00006\00147_00000.png,6
180,.\train\00006\00147_00001.png,6
181,.\train\00006\00147_00002.png,6
182,.\train\00006\00215_00000.png,6
183,.\train\00006\00215_00001.png,6
184,.\train\00006\00215_00002.png,6
185,.\train\00006\00220_00000.png,6
186,.\train\00006\00220_00001.png,6
187,.\train\00006\00220_00002.png,6
188,.\train\00006\00221_00000.png,6
189,.\train\00006\00221_00001.png,6
190,.\train\00006\00221_00002.png,6
191,.\train\00006\00326_00000.png,6
192,.\train\00006\00326_00001.png,6
193,.\train\00006\00326_00002.png,6
194,.\train\00006\00327_00000.png,6
195,.\train\00006\00327_00001.png,6
196,.\train\00006\00327_00002.png,6
197,.\train\00007\00014_00000.png,7
198,.\train\00007\00014_00001.png,7
199,.\train\00007\00014_00002.png,7
200,.\train\00007\00051_00000.png,7
201,.\train\00007\00051_00001.png,7
202,.\train\00007\00051_00002.png,7
203,.\train\00007\00057_00000.png,7
204,.\train\00007\00057_00001.png,7
205,.\train\00007\00057_00002.png,7
206,.\train\00007\00068_00000.png,7
207,.\train\00007\00068_00001.png,7
208,.\train\00007\00068_00002.png,7
209,.\train\00007\00132_00000.png,7
210,.\train\00007\00132_00001.png,7
211,.\train\00007\00132_00002.png,7
212,.\train\00007\00259_00000.png,7
213,.\train\00007\00259_00001.png,7
214,.\train\00007\00259_00002.png,7
215,.\train\00007\00295_00000.png,7
216,.\train\00007\00295_00001.png,7
217,.\train\00007\00299_00000.png,7
218,.\train\00007\00299_00001.png,7
219,.\train\00007\00299_00002.png,7
220,.\train\00007\00305_00000.png,7
221,.\train\00007\00305_00001.png,7
222,.\train\00007\00305_00002.png,7
223,.\train\00007\00614_00000.png,7
224,.\train\00007\00614_00001.png,7
225,.\train\00007\00614_00002.png,7
226,.\train\00007\00618_00000.png,7
227,.\train\00007\00618_00001.png,7
228,.\train\00007\00618_00002.png,7
229,.\train\00007\00689_00000.png,7
230,.\train\00007\00689_00001.png,7
231,.\train\00007\00689_00002.png,7
232,.\train\00007\00689_00003.png,7
233,.\train\00007\00719_00000.png,7
234,.\train\00007\00719_00001.png,7
235,.\train\00007\00719_00002.png,7
236,.\train\00007\00736_00000.png,7
237,.\train\00007\00736_00001.png,7
238,.\train\00007\00736_00002.png,7
239,.\train\00007\00748_00000.png,7
240,.\train\00007\00748_00001.png,7
241,.\train\00007\00769_00000.png,7
242,.\train\00007\00769_00001.png,7
243,.\train\00007\00769_00002.png,7
244,.\train\00007\00770_00000.png,7
245,.\train\00007\00770_00001.png,7
246,.\train\00007\00770_00002.png,7
247,.\train\00007\00781_00000.png,7
248,.\train\00007\00781_00001.png,7
249,.\train\00007\00781_00002.png,7
250,.\train\00007\00987_00000.png,7
251,.\train\00007\00987_00001.png,7
252,.\train\00007\00987_00002.png,7
253,.\train\00007\00992_00000.png,7
254,.\train\00007\00992_00001.png,7
255,.\train\00007\00992_00002.png,7
256,.\train\00007\01017_00000.png,7
257,.\train\00007\01017_00001.png,7
258,.\train\00007\01017_00002.png,7
259,.\train\00007\01061_00000.png,7
260,.\train\00007\01061_00001.png,7
261,.\train\00007\01061_00002.png,7
262,.\train\00007\01061_00003.png,7
263,.\train\00007\01062_00000.png,7
264,.\train\00007\01062_00001.png,7
265,.\train\00007\01062_00002.png,7
266,.\train\00007\01077_00000.png,7
267,.\train\00007\01077_00001.png,7
268,.\train\00007\01077_00002.png,7
269,.\train\00007\01080_00000.png,7
270,.\train\00007\01080_00001.png,7
271,.\train\00007\01080_00002.png,7
272,.\train\00007\01081_00000.png,7
273,.\train\00007\01081_00001.png,7
274,.\train\00007\01081_00002.png,7
275,.\train\00007\01138_00000.png,7
276,.\train\00007\01138_00001.png,7
277,.\train\00007\01138_00002.png,7
278,.\train\00007\01139_00000.png,7
279,.\train\00007\01139_00001.png,7
280,.\train\00007\01139_00002.png,7
281,.\train\00007\01152_00000.png,7
282,.\train\00007\01152_00001.png,7
283,.\train\00007\01152_00002.png,7
284,.\train\00007\01159_00000.png,7
285,.\train\00007\01159_00001.png,7
286,.\train\00007\01159_00002.png,7
287,.\train\00007\01186_00000.png,7
288,.\train\00007\01186_00001.png,7
289,.\train\00007\01186_00002.png,7
290,.\train\00007\01189_00000.png,7
291,.\train\00007\01189_00001.png,7
292,.\train\00007\01189_00002.png,7
293,.\train\00007\01195_00000.png,7
294,.\train\00007\01195_00001.png,7
295,.\train\00007\01195_00002.png,7
296,.\train\00007\01339_00000.png,7
297,.\train\00007\01339_00001.png,7
298,.\train\00007\01339_00002.png,7
299,.\train\00007\01388_00000.png,7
300,.\train\00007\01388_00001.png,7
301,.\train\00007\01388_00002.png,7
302,.\train\00007\01393_00000.png,7
303,.\train\00007\01393_00001.png,7
304,.\train\00007\01393_00002.png,7
305,.\train\00007\01397_00000.png,7
306,.\train\00007\01397_00001.png,7
307,.\train\00007\01397_00002.png,7
308,.\train\00007\01406_00000.png,7
309,.\train\00007\01406_00001.png,7
310,.\train\00007\01406_00002.png,7
311,.\train\00007\01423_00000.png,7
312,.\train\00007\01423_00001.png,7
313,.\train\00007\01426_00000.png,7
314,.\train\00007\01426_00001.png,7
315,.\train\00007\01426_00002.png,7
316,.\train\00007\01433_00000.png,7
317,.\train\00007\01433_00001.png,7
318,.\train\00007\01433_00002.png,7
319,.\train\00007\01485_00000.png,7
320,.\train\00007\01485_00001.png,7
321,.\train\00007\01485_00002.png,7
322,.\train\00007\01531_00000.png,7
323,.\train\00007\01531_00001.png,7
324,.\train\00007\01531_00002.png,7
325,.\train\00007\01537_00000.png,7
326,.\train\00007\01537_00001.png,7
327,.\train\00007\01537_00002.png,7
328,.\train\00007\01598_00000.png,7
329,.\train\00007\01598_00001.png,7
330,.\train\00007\01598_00002.png,7
331,.\train\00007\01605_00000.png,7
332,.\train\00007\01605_00001.png,7
333,.\train\00007\01605_00002.png,7
334,.\train\00007\01653_00000.png,7
335,.\train\00007\01653_00001.png,7
336,.\train\00007\01653_00002.png,7
337,.\train\00007\01700_00000.png,7
338,.\train\00007\01700_00001.png,7
339,.\train\00007\01782_00000.png,7
340,.\train\00007\01782_00001.png,7
341,.\train\00007\01782_00002.png,7
342,.\train\00007\01794_00000.png,7
343,.\train\00007\01794_00001.png,7
344,.\train\00007\01794_00002.png,7
345,.\train\00007\01801_00000.png,7
346,.\train\00007\01801_00001.png,7
347,.\train\00007\01801_00002.png,7
348,.\train\00007\01880_00000.png,7
349,.\train\00007\01880_00001.png,7
350,.\train\00007\01880_00002.png,7
351,.\train\00007\01888_00000.png,7
352,.\train\00007\01888_00001.png,7
353,.\train\00007\01888_00002.png,7
354,.\train\00008\00046_00000.png,8
355,.\train\00008\00046_00001.png,8
356,.\train\00008\00046_00002.png,8
357,.\train\00008\01016_00000.png,8
358,.\train\00008\01016_00001.png,8
359,.\train\00008\01016_00002.png,8
360,.\train\00008\01020_00000.png,8
361,.\train\00008\01020_00001.png,8
362,.\train\00008\01020_00002.png,8
363,.\train\00008\01520_00000.png,8
364,.\train\00008\01520_00001.png,8
365,.\train\00008\01520_00002.png,8
366,.\train\00008\01521_00000.png,8
367,.\train\00008\01521_00001.png,8
368,.\train\00008\01521_00002.png,8
369,.\train\00008\01530_00000.png,8
370,.\train\00008\01530_00001.png,8
371,.\train\00008\01530_00002.png,8
372,.\train\00008\01578_00000.png,8
373,.\train\00008\01578_00001.png,8
374,.\train\00008\01578_00002.png,8
375,.\train\00008\01663_00000.png,8
376,.\train\00008\01663_00001.png,8
377,.\train\00008\01663_00002.png,8
378,.\train\00008\01873_00000.png,8
379,.\train\00008\01873_00001.png,8
380,.\train\00008\01873_00002.png,8
381,.\train\00009\00141_00000.png,9
382,.\train\00009\00141_00001.png,9
383,.\train\00009\00141_00002.png,9
384,.\train\00009\00223_00000.png,9
385,.\train\00009\00223_00001.png,9
386,.\train\00009\00223_00002.png,9
387,.\train\00009\00224_00000.png,9
388,.\train\00009\00224_00001.png,9
389,.\train\00009\00224_00002.png,9
390,.\train\00009\00285_00000.png,9
391,.\train\00009\00285_00001.png,9
392,.\train\00009\00285_00002.png,9
393,.\train\00009\00286_00000.png,9
394,.\train\00009\00286_00001.png,9
395,.\train\00009\00286_00002.png,9
396,.\train\00009\00410_00000.png,9
397,.\train\00009\00410_00001.png,9
398,.\train\00009\00410_00002.png,9
399,.\train\00010\00240_00000.png,10
400,.\train\00010\00240_00001.png,10
401,.\train\00010\00240_00002.png,10
402,.\train\00010\00249_00000.png,10
403,.\train\00010\00249_00001.png,10
404,.\train\00010\00249_00002.png,10
405,.\train\00010\00254_00000.png,10
406,.\train\00010\00254_00001.png,10
407,.\train\00010\00254_00002.png,10
408,.\train\00010\00262_00000.png,10
409,.\train\00010\00262_00001.png,10
410,.\train\00010\00262_00002.png,10
411,.\train\00010\00263_00000.png,10
412,.\train\00010\00263_00001.png,10
413,.\train\00010\00263_00002.png,10
414,.\train\00010\00289_00000.png,10
415,.\train\00010\00289_00001.png,10
416,.\train\00010\00289_00002.png,10
417,.\train\00010\01903_00000.png,10
418,.\train\00010\01903_00001.png,10
419,.\train\00010\01903_00002.png,10
420,.\train\00011\00271_00000.png,11
421,.\train\00011\00271_00001.png,11
422,.\train\00011\00271_00002.png,11
423,.\train\00011\00271_00003.png,11
424,.\train\00011\01507_00000.png,11
425,.\train\00011\01507_00001.png,11
426,.\train\00011\01507_00002.png,11
427,.\train\00012\01473_00000.png,12
428,.\train\00012\01473_00001.png,12
429,.\train\00012\01473_00002.png,12
430,.\train\00012\01564_00000.png,12
431,.\train\00012\01564_00001.png,12
432,.\train\00012\01564_00002.png,12
433,.\train\00012\01565_00000.png,12
434,.\train\00012\01565_00001.png,12
435,.\train\00012\01565_00002.png,12
436,.\train\00012\01609_00000.png,12
437,.\train\00012\01609_00001.png,12
438,.\train\00012\01609_00002.png,12
439,.\train\00012\01652_00000.png,12
440,.\train\00012\01652_00001.png,12
441,.\train\00012\01652_00002.png,12
442,.\train\00012\01734_00000.png,12
443,.\train\00012\01734_00001.png,12
444,.\train\00012\01734_00002.png,12
445,.\train\00013\00138_00000.png,13
446,.\train\00013\00138_00001.png,13
447,.\train\00013\00138_00002.png,13
448,.\train\00013\00178_00000.png,13
449,.\train\00013\00178_00001.png,13
450,.\train\00013\00178_00002.png,13
451,.\train\00013\00184_00000.png,13
452,.\train\00013\00184_00001.png,13
453,.\train\00013\00184_00002.png,13
454,.\train\00013\00196_00000.png,13
455,.\train\00013\00196_00001.png,13
456,.\train\00013\00196_00002.png,13
457,.\train\00013\00197_00000.png,13
458,.\train\00013\00197_00001.png,13
459,.\train\00013\00197_00002.png,13
460,.\train\00013\00202_00000.png,13
461,.\train\00013\00202_00001.png,13
462,.\train\00013\00202_00002.png,13
463,.\train\00013\00235_00000.png,13
464,.\train\00013\00235_00001.png,13
465,.\train\00013\00235_00002.png,13
466,.\train\00013\00248_00000.png,13
467,.\train\00013\00248_00001.png,13
468,.\train\00013\00248_00002.png,13
469,.\train\00013\00257_00000.png,13
470,.\train\00013\00257_00001.png,13
471,.\train\00013\00257_00002.png,13
472,.\train\00013\00307_00000.png,13
473,.\train\00013\00307_00001.png,13
474,.\train\00013\00307_00002.png,13
475,.\train\00013\00433_00000.png,13
476,.\train\00013\00433_00001.png,13
477,.\train\00013\00433_00002.png,13
478,.\train\00013\00572_00000.png,13
479,.\train\00013\00572_00001.png,13
480,.\train\00013\00572_00002.png,13
481,.\train\00013\00866_00000.png,13
482,.\train\00013\00866_00001.png,13
483,.\train\00013\00866_00002.png,13
484,.\train\00013\00869_00000.png,13
485,.\train\00013\00869_00001.png,13
486,.\train\00013\00869_00002.png,13
487,.\train\00013\00880_00000.png,13
488,.\train\00013\00880_00001.png,13
489,.\train\00013\00880_00002.png,13
490,.\train\00013\00884_00000.png,13
491,.\train\00013\00884_00001.png,13
492,.\train\00013\00884_00002.png,13
493,.\train\00013\00919_00000.png,13
494,.\train\00013\00919_00001.png,13
495,.\train\00013\00919_00002.png,13
496,.\train\00013\00961_00000.png,13
497,.\train\00013\00961_00001.png,13
498,.\train\00013\00961_00002.png,13
499,.\train\00013\01447_00000.png,13
500,.\train\00013\01447_00001.png,13
501,.\train\00013\01447_00002.png,13
502,.\train\00013\01450_00000.png,13
503,.\train\00013\01450_00001.png,13
504,.\train\00013\01450_00002.png,13
505,.\train\00013\01452_00000.png,13
506,.\train\00013\01452_00001.png,13
507,.\train\00013\01452_00002.png,13
508,.\train\00013\01466_00000.png,13
509,.\train\00013\01466_00001.png,13
510,.\train\00013\01466_00002.png,13
511,.\train\00013\01471_00000.png,13
512,.\train\00013\01471_00001.png,13
513,.\train\00013\01471_00002.png,13
514,.\train\00013\01549_00000.png,13
515,.\train\00013\01549_00001.png,13
516,.\train\00013\01549_00002.png,13
517,.\train\00013\01574_00000.png,13
518,.\train\00013\01574_00001.png,13
519,.\train\00013\01574_00002.png,13
520,.\train\00013\01575_00000.png,13
521,.\train\00013\01575_00001.png,13
522,.\train\00013\01575_00002.png,13
523,.\train\00013\01576_00000.png,13
524,.\train\00013\01576_00001.png,13
525,.\train\00013\01576_00002.png,13
526,.\train\00013\01580_00000.png,13
527,.\train\00013\01580_00001.png,13
528,.\train\00013\01580_00002.png,13
529,.\train\00013\01682_00000.png,13
530,.\train\00013\01682_00001.png,13
531,.\train\00013\01682_00002.png,13
532,.\train\00013\01704_00000.png,13
533,.\train\00013\01704_00001.png,13
534,.\train\00013\01704_00002.png,13
535,.\train\00014\00208_00000.png,14
536,.\train\00014\00208_00001.png,14
537,.\train\00014\00208_00002.png,14
538,.\train\00014\00379_00000.png,14
539,.\train\00014\00379_00001.png,14
540,.\train\00014\00379_00002.png,14
541,.\train\00014\00406_00000.png,14
542,.\train\00014\00406_00001.png,14
543,.\train\00014\00406_00002.png,14
544,.\train\00014\00408_00000.png,14
545,.\train\00014\00408_00001.png,14
546,.\train\00014\00408_00002.png,14
547,.\train\00014\00448_00000.png,14
548,.\train\00014\00448_00001.png,14
549,.\train\00014\00448_00002.png,14
550,.\train\00014\00859_00000.png,14
551,.\train\00014\00859_00001.png,14
552,.\train\00014\00859_00002.png,14
553,.\train\00014\00899_00000.png,14
554,.\train\00014\00899_00001.png,14
555,.\train\00014\00899_00002.png,14
556,.\train\00014\00911_00000.png,14
557,.\train\00014\00911_00001.png,14
558,.\train\00014\00911_00002.png,14
559,.\train\00014\01135_00000.png,14
560,.\train\00014\01135_00001.png,14
561,.\train\00014\01135_00002.png,14
562,.\train\00014\01490_00000.png,14
563,.\train\00014\01490_00001.png,14
564,.\train\00014\01544_00000.png,14
565,.\train\00014\01544_00001.png,14
566,.\train\00014\01544_00002.png,14
567,.\train\00014\01558_00000.png,14
568,.\train\00014\01558_00001.png,14
569,.\train\00014\01558_00002.png,14
570,.\train\00014\01780_00000.png,14
571,.\train\00014\01780_00001.png,14
572,.\train\00014\01780_00002.png,14
573,.\train\00014\01925_00000.png,14
574,.\train\00014\01925_00001.png,14
575,.\train\00014\01926_00000.png,14
576,.\train\00014\01926_00001.png,14
577,.\train\00014\01926_00002.png,14
578,.\train\00015\00331_00000.png,15
579,.\train\00015\00331_00001.png,15
580,.\train\00015\00331_00002.png,15
581,.\train\00015\00675_00000.png,15
582,.\train\00015\00675_00001.png,15
583,.\train\00015\00675_00002.png,15
584,.\train\00015\00709_00000.png,15
585,.\train\00015\00709_00001.png,15
586,.\train\00015\00709_00002.png,15
587,.\train\00016\00230_00000.png,16
588,.\train\00016\00230_00001.png,16
589,.\train\00016\00230_00002.png,16
590,.\train\00016\00332_00000.png,16
591,.\train\00016\00332_00001.png,16
592,.\train\00016\00332_00002.png,16
593,.\train\00016\00444_00000.png,16
594,.\train\00016\00444_00001.png,16
595,.\train\00016\00444_00002.png,16
596,.\train\00017\00002_00000.png,17
597,.\train\00017\00002_00001.png,17
598,.\train\00017\00002_00002.png,17
599,.\train\00017\00017_00000.png,17
600,.\train\00017\00017_00001.png,17
601,.\train\00017\00017_00002.png,17
602,.\train\00017\00023_00000.png,17
603,.\train\00017\00023_00001.png,17
604,.\train\00017\00023_00002.png,17
605,.\train\00017\00132_00000.png,17
606,.\train\00017\00132_00001.png,17
607,.\train\00017\00132_00002.png,17
608,.\train\00017\00148_00000.png,17
609,.\train\00017\00148_00001.png,17
610,.\train\00017\00148_00002.png,17
611,.\train\00017\00156_00000.png,17
612,.\train\00017\00156_00001.png,17
613,.\train\00017\00156_00002.png,17
614,.\train\00017\00188_00000.png,17
615,.\train\00017\00188_00001.png,17
616,.\train\00017\00188_00002.png,17
617,.\train\00017\00238_00000.png,17
618,.\train\00017\00238_00001.png,17
619,.\train\00017\00238_00002.png,17
620,.\train\00017\00243_00000.png,17
621,.\train\00017\00243_00001.png,17
622,.\train\00017\00243_00002.png,17
623,.\train\00017\00252_00000.png,17
624,.\train\00017\00252_00001.png,17
625,.\train\00017\00252_00002.png,17
626,.\train\00017\00253_00000.png,17
627,.\train\00017\00253_00001.png,17
628,.\train\00017\00253_00002.png,17
629,.\train\00017\00260_00000.png,17
630,.\train\00017\00260_00001.png,17
631,.\train\00017\00260_00002.png,17
632,.\train\00017\00268_00000.png,17
633,.\train\00017\00268_00001.png,17
634,.\train\00017\00268_00002.png,17
635,.\train\00017\00294_00000.png,17
636,.\train\00017\00294_00001.png,17
637,.\train\00017\00294_00002.png,17
638,.\train\00017\00298_00000.png,17
639,.\train\00017\00298_00001.png,17
640,.\train\00017\00298_00002.png,17
641,.\train\00017\00319_00000.png,17
642,.\train\00017\00319_00001.png,17
643,.\train\00017\00319_00002.png,17
644,.\train\00017\00324_00000.png,17
645,.\train\00017\00324_00001.png,17
646,.\train\00017\00324_00002.png,17
647,.\train\00017\00371_00000.png,17
648,.\train\00017\00371_00001.png,17
649,.\train\00017\00371_00002.png,17
650,.\train\00017\00550_00000.png,17
651,.\train\00017\00710_00000.png,17
652,.\train\00017\00710_00001.png,17
653,.\train\00017\00710_00002.png,17
654,.\train\00017\00845_00000.png,17
655,.\train\00017\00845_00001.png,17
656,.\train\00017\00845_00002.png,17
657,.\train\00017\00910_00000.png,17
658,.\train\00017\00910_00001.png,17
659,.\train\00017\00910_00002.png,17
660,.\train\00017\01195_00000.png,17
661,.\train\00017\01195_00001.png,17
662,.\train\00017\01195_00002.png,17
663,.\train\00017\01199_00000.png,17
664,.\train\00017\01199_00001.png,17
665,.\train\00017\01199_00002.png,17
666,.\train\00017\01210_00000.png,17
667,.\train\00017\01210_00001.png,17
668,.\train\00017\01210_00002.png,17
669,.\train\00017\01221_00000.png,17
670,.\train\00017\01221_00001.png,17
671,.\train\00017\01221_00002.png,17
672,.\train\00017\01724_00000.png,17
673,.\train\00017\01724_00001.png,17
674,.\train\00017\01724_00002.png,17
675,.\train\00018\00008_00000.png,18
676,.\train\00018\00008_00001.png,18
677,.\train\00018\00008_00002.png,18
678,.\train\00018\00009_00000.png,18
679,.\train\00018\00009_00001.png,18
680,.\train\00018\00009_00002.png,18
681,.\train\00018\00024_00000.png,18
682,.\train\00018\00024_00001.png,18
683,.\train\00018\00024_00002.png,18
684,.\train\00018\00027_00000.png,18
685,.\train\00018\00027_00001.png,18
686,.\train\00018\00027_00002.png,18
687,.\train\00018\00078_00000.png,18
688,.\train\00018\00078_00001.png,18
689,.\train\00018\00078_00002.png,18
690,.\train\00018\00139_00000.png,18
691,.\train\00018\00139_00001.png,18
692,.\train\00018\00139_00002.png,18
693,.\train\00018\00195_00000.png,18
694,.\train\00018\00195_00001.png,18
695,.\train\00018\00195_00002.png,18
696,.\train\00018\00201_00000.png,18
697,.\train\00018\00201_00001.png,18
698,.\train\00018\00201_00002.png,18
699,.\train\00018\00365_00000.png,18
700,.\train\00018\00365_00001.png,18
701,.\train\00018\00365_00002.png,18
702,.\train\00018\00394_00000.png,18
703,.\train\00018\00394_00001.png,18
704,.\train\00018\00394_00002.png,18
705,.\train\00018\00401_00000.png,18
706,.\train\00018\00401_00001.png,18
707,.\train\00018\00401_00002.png,18
708,.\train\00018\00429_00000.png,18
709,.\train\00018\00429_00001.png,18
710,.\train\00018\00429_00002.png,18
711,.\train\00018\00454_00000.png,18
712,.\train\00018\00454_00001.png,18
713,.\train\00018\00454_00002.png,18
714,.\train\00018\00567_00000.png,18
715,.\train\00018\00567_00001.png,18
716,.\train\00018\00567_00002.png,18
717,.\train\00018\00573_00000.png,18
718,.\train\00018\00573_00001.png,18
719,.\train\00018\00573_00002.png,18
720,.\train\00018\00737_00000.png,18
721,.\train\00018\00737_00001.png,18
722,.\train\00018\00737_00002.png,18
723,.\train\00018\00757_00000.png,18
724,.\train\00018\00757_00001.png,18
725,.\train\00018\00757_00002.png,18
726,.\train\00018\01075_00000.png,18
727,.\train\00018\01075_00001.png,18
728,.\train\00018\01075_00002.png,18
729,.\train\00018\01076_00000.png,18
730,.\train\00018\01076_00001.png,18
731,.\train\00018\01076_00002.png,18
732,.\train\00018\01083_00000.png,18
733,.\train\00018\01083_00001.png,18
734,.\train\00018\01083_00002.png,18
